%
%
% Run:01    Table:Buoydata          SWAN version:41.51
%
%       Time               Xp            Yp            Depth         Hsig          Hswell        TPsmoo        Tm01          Tm_10         Tm02          RTpeak        PkDir         Dir         X-Windv       Y-Windv         Dspr          Qp          X-Vel         Y-Vel           Steepn
%       [ ]                [degr]        [degr]        [m]           [m]           [m]           [sec]         [sec]         [sec]         [sec]         [sec]         [degr]        [degr]        [m/s]         [m/s]         [degr]        [ ]           [m/s]         [m/s]         [ ]
%
20250101.050000            0.416       50.7830      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.050000            0.754       50.7460       13.9492       0.08472       0.00039        1.8598        1.3419        1.5500        1.1447        1.9194       167.500       169.293        0.0000        0.0000       22.3960      2.532516      0.000000      0.000000     0.0414313
20250101.060000         -2.750     50.6930    -99.0000    -9.00000    -9.00000     -9.0000     -9.0000     -9.0000     -9.0000     -9.0000    -999.000    -999.000      0.0000      0.0000     -9.0000   -9.000000    0.000000    0.000000  -9.0000000
20250101.060000           -2.523       50.6030      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000           -2.414       50.6230      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000           -1.840       50.7110      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000           -1.615       50.7130      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000           -1.719       50.6330      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000           -1.129       50.6510       18.1282       0.31791       0.00004        2.5353        1.9019        2.2139        1.6141        2.4510       107.500        85.973       -4.6145       -1.8073       29.9573      2.006177      0.000000      0.000000     0.0781444
20250101.060000           -0.959       50.7330      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000           -0.839       50.7230      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000           -0.495       50.7340      -99.0000      -9.00000      -9.00000       -9.0000       -9.0000       -9.0000       -9.0000       -9.0000      -999.000      -999.000        0.0000        0.0000       -9.0000     -9.000000      0.000000      0.000000    -9.0000000
20250101.060000            0.000       50.4000       45.7370       0.06375       0.00053        1.4521        1.1502        1.3228        0.9949        1.5031        67.500        60.734        0.0000        0.0000       26.1377      3.118453      0.000000      0.000000     0.0412957
